finish,start,car_number,driver,car_name/entrant,make_model,status,laps,LED,winnings,year
31,32,30,Jerry Sneva,Smock Material Handling,McLaren/Offy,Transmission,18,0,"$18,120",1978
32,12,24,Sheldon Kinser,Thermo-King,Watson/Offy,Oil pressure,15,0,"$15,813",1978
33,27,29,Cliff Hucul,Wendy's Hamburgers,McLaren/Offy,Oil line,4,0,"$15,534",1978
1,1,9,Rick Mears,The Gould Charge,Penske/Cosworth,158.899,200,25,"$270,401",1979
2,6,14,A.J. Foyt,Gilmore Racing Team,Parnelli/Cosworth,158.26,200,1,"$107,291",1979
3,12,36,Mike Mosley,Theodore Racing,Eagle/Cosworth,158.228,200,0,"$65,031",1979
4,27,25,Danny Ongais,Interscope Racing,Penske/Cosworth,Running,199,0,"$41,197",1979
5,4,12,Bobby Unser,Norton Spirit,Penske/Cosworth,Running,199,89,"$62,319",1979
6,5,3,Gordon Johncock,North American Van Lines,Penske/Cosworth,Running,197,0,"$34,815",1979
7,13,46,Howdy Holmes,Armstrong Mould/Jiffy Mix,Wildcat/Cosworth,Running,195,0,"$38,503",1979
8,34,22,Bill Vukovich II,Hubler/WNDE/Thermo-King,Watson/Offy,Running,194,0,"$31,305",1979
9,15,11,Tom Bagley,Dairy Queen/Kent Oil,Penske/Cosworth,Running,193,0,"$26,927",1979
10,31,19,Spike Gehlhausen,Sta-On Car Glaze/WIRE,Wildcat/Cosworth,Running,192,0,"$26,366",1979
11,28,7,Steve Krisiloff,Frosty Acres/Winton Sales,Lightning/Offy,Running,192,0,"$25,713",1979
12,16,77,Salt Walther,Dayton-Walther,Penske/Cosworth,Running,191,0,"$24,739",1979
13,25,72,Roger McCluskey,National Engineering Co.,McLaren/Cosworth,Running,191,0,"$26,392",1979
14,30,44,Tom Bigelow,Armstrong Mould,Lola/Cosworth,Running,190,0,"$25,817",1979
15,2,1,Tom Sneva,Sugaripe Prune,McLaren/Cosworth,Accident,188,0,"$30,578",1979
16,26,69,Joe Saldana,KBHL/Spirit of Nebraska,Eagle/Offy,Running,186,0,"$24,467",1979
17,29,97,Phil Threshie,Guiffre Brothers Crane,King/Chevrolet,Running,172,0,"$24,634",1979
18,8,4,Johnny Rutherford,Budweiser,McLaren/Cosworth,Running,168,0,"$30,729",1979
19,23,31,Larry Rice,S&M Electric,Lightning/Offy,Accident,142,0,"$21,053",1979
20,17,10,Pancho Carter,Alex XLNT Foods,Lightning/Offy,Wheel bearing,129,0,"$21,656",1979
21,22,34,Vern Schuppan,Wysard Motor Co.,Wildcat/DGS,Transmission,111,0,"$20,537",1979
22,3,2,Al Unser,Pennzoil,Chaparral/Cosworth,Transmission,104,85,"$39,646",1979
23,33,50,Eldon Rasmussen,Vans by Bivouac/WFMS,Antares/Offy,Header pipe,89,0,"$19,433",1979
24,24,80,Larry Dickson,Russ Polak,Penske/Cosworth,Fuel pump,86,0,"$19,149",1979
25,32,92,John Mahler,Intercomp/Sports Magazine,Eagle/Offy,Fuel pump,66,0,"$18,894",1979
26,20,17,Dick Simon,Sanyo,Vollstedt/Offy,Clutch,57,0,"$19,267",1979
27,7,6,Wally Dallenbach,Foreman Industries,Penske/Cosworth,Lost wheel,43,0,"$19,768",1979
28,10,24,Sheldon Kinser,Genesee Beer,Watson/Offy,Piston,40,0,"$18,297",1979
29,18,29,Cliff Hucul,Hucul Racing,McLaren/Offy,Rod,22,0,"$21,605",1979
30,11,89,Lee Kunzman,Vetter Windjammer,Parnelli/Cosworth,Scavenger pump,18,0,"$18,042",1979
31,21,73,Jerry Sneva,National Engineering Co.,Spirit/AMC,Piston,16,0,"$18,357",1979
32,9,15,Johnny Parsons,Hopkins,Lightning/Offy,Piston,16,0,"$18,900",1979
33,35,59,George Snider,KBHL/Spirit of Nebraska,Lightning/Offy,Fuel pump,7,0,"$18,921",1979
34,14,45,Janet Guthrie,Texaco Star,Lola/Cosworth,Piston,3,0,"$18,121",1979
35,19,23,Jim McElreath,Amax Coal,Penske/Cosworth,Valves,0,0,"$18,671",1979
1,1,4,Johnny Rutherford,Pennzoil,Chaparral/Cosworth,142.862,200,118,"$318,820",1980
2,33,9,Tom Sneva,Bon Jour Action Jeans,McLaren/Cosworth,142.524,200,16,"$128,945",1980
3,32,46,Gary Bettenhausen,Armstrong Mould,Wildcat/DGS,142.485,200,0,"$86,945",1980
4,17,20,Gordon Johncock,North American Van Lines,Penske/Cosworth,142.482,200,11,"$56,495",1980
5,6,1,Rick Mears,The Gould Charge,Penske/Cosworth,Running,199,10,"$45,505",1980
6,8,10,Pancho Carter,Alex XLNT Foods,Penske/Cosworth,Running,199,5,"$39,175",1980
7,16,25,Danny Ongais,Interscope/Panasonic,Parnelli/Cosworth,Running,199,0,"$37,414",1980
8,31,43,Tom Bigelow,Armstrong Mould/Jiffy Mix,Lola/Cosworth,Running,198,0,"$44,707",1980
9,19,21,Tim Richmond,UNO/Q95 Starcruiser,Penske/Cosworth,Out of fuel,197,1,"$43,447",1980
10,23,44,Greg Leffler,Starcraft R.V.,Lola/Cosworth,Running,197,0,"$39,047",1980
11,22,29,Billy Engelhart,Master Lock,McLaren/Cosworth,Running,193,0,"$32,303",1980
12,30,2,Bill Vukovich II,Hubler Chevrolet/WFMS,Watson/Offy,Running,192,0,"$31,087",1980
13,18,96,Don Whittington,Sun System,Penske/Cosworth,Running,178,0,"$30,928",1980
14,12,14,A.J. Foyt,Gilmore Racing Team,Parnelli/Cosworth,Valve,173,0,"$29,512",1980
15,21,16,George Snider,Gilmore Racing Team,Parnelli/Cosworth,Engine,169,1,"$30,351",1980
16,24,18,Dennis Firestone,Scientific Drilling Controls,Penske/Cosworth,Transmission,137,0,"$28,776",1980
17,5,7,Jerry Sneva,Hugger's Beverage Holders,Lola/Cosworth,Accident,130,0,"$30,271",1980
18,25,99,Hurley Haywood,Sta-On Car Glaze/KISS99/Guarantee Auto,Lightning/Chevrolet V6,Fire,126,0,"$28,273",1980
19,3,11,Bobby Unser,Norton Spirit,Penske/Cosworth,Turbo,126,26,"$37,432",1980
20,2,12,Mario Andretti,Essex,Penske/Cosworth,Engine,71,10,"$33,611",1980
21,28,38,Jerry Karl,Tonco Trailer,McLaren/Chevrolet,Clutch,64,0,"$26,747",1980
22,29,8,Dick Simon,Vermont American/Shihouette Spas/Regal 8 Inns,Vollstedt/Offy,Lost wheel,58,0,"$26,411",1980
23,10,66,Roger Rager,Advance Clean Sweep/Carpenter Bus,Wildcat/Chevrolet,Accident,55,2,"$26,503",1980
24,11,23,Jim McElreath,McElreath,Penske/Cosworth,Accident,54,0,"$26,323",1980
25,20,70,Gordon Smiley,Valvoline/Diamond Head Ranch,Phoenix/Cosworth,Turbo,47,0,"$26,771",1980
26,7,15,Johnny Parsons,Wynn's,Lightning/Offy,Piston,44,0,"$26,597",1980
27,9,5,Al Unser,Longhorn Racing,Longhorn/Cosworth,Cylinder,33,0,"$25,151",1980
28,13,40,Tom Bagley,Kent Oil,Wildcat/Cosworth,Pump,29,0,"$25,983",1980
29,4,35,Spike Gehlhausen,Winton Sales,Penske/Cosworth,Accident,20,0,"$26,143",1980
30,27,94,Bill Whittington,Sun System,Parnelli/Cosworth,Accident,9,0,"$24,361",1980
31,15,26,Dick Ferguson,AMS Oil,Penske/Cosworth,Accident,9,0,"$26,647",1980
32,26,48,Mike Mosley,Theodore Racing,Eagle/Chevrolet,Gasket,5,0,"$24,591",1980
33,14,95,Larry Cannon,Kraco Car Stereo,Wildcat/DGS,Camshaft,2,0,"$25,063",1980
1,1,3,Bobby Unser,Norton Spirit,Penske/Cosworth,139.184,200,89,"$299,124",1981
2,32,40,Mario Andretti,STP Oil Treatment,Wildcat/Cosworth,139.029,200,12,"$128,974",1981
3,18,33,Vern Schuppan,Red Roof Inns,McLaren/Cosworth,Running,199,0,"$87,974",1981
4,12,32,Kevin Cogan,Jerry O'Connell Racing,Phoenix/Cosworth,Running,197,0,"$59,024",1981
5,15,50,Geoff Brabham,Psachie/Garza/ESSO,Penske/Cosworth,Running,197,0,"$55,684",1981
6,23,81,Sheldon Kinser,Sergio Valente Jeans,Longhorn/Cosworth,Running,195,0,"$44,754",1981
7,16,16,Tony Bettenhausen Jr.,Provimi Veal,McLaren/Cosworth,Running,195,0,"$44,064",1981
8,17,53,Steve Krisiloff,Psachie/Garza/ESSO,Penske/Cosworth,Running,194,0,"$39,986",1981
9,4,20,Gordon Johncock,STP Oil Treatment,Wildcat/Cosworth,Engine,194,52,"$62,501",1981
10,28,4,Dennis Firestone,Rhoades Aircraft Sales,Wildcat/Cosworth,Engine,193,0,"$36,376",1981
11,7,7,Bill Alsup,AB Dick Pacemaker,Penske/Cosworth,Running,193,0,"$35,632",1981
12,25,74,Michael Chandler,National Engineering Co.,Penske/Cosworth,Running,192,0,"$34,116",1981
13,3,14,A.J. Foyt,Valvoline-Gilmore,Coyote/Cosworth,Running,191,0,"$35,795",1981
14,33,84,Tim Richmond,UNO/WTTV/Guarantee Auto,Parnelli/Cosworth,Running,191,0,"$33,612",1981
15,31,38,Jerry Karl,Tonco Trailer,McLaren/Chevrolet,Running,189,0,"$35,480",1981
16,29,37,Scott Brayton,Forsythe Industries,Penske/Cosworth,Engine,173,0,"$32,176",1981
17,9,88,Al Unser,Valvoline-Longhorn,Longhorn/Cosworth,Running,166,0,"$31,600",1981
18,19,31,Larry Dickson,Machinist Union,Penske/Cosworth,Piston,165,0,"$30,652",1981
19,13,35,Bob Lazier,Montgomery Ward Auto Club,Penske/Cosworth,Engine,154,0,"$33,732",1981
20,14,56,Tom Bigelow,Genesee Beer,Penske/Chevrolet,Engine,152,0,"$30,140",1981
21,27,90,Bill Whittington,Kraco Car Stereo,March/Cosworth,Stalled,146,0,"$31,243",1981
22,8,60,Gordon Smiley,Intermedics,Wildcat/Cosworth,Accident,141,1,"$29,240",1981
23,6,55,Josele Garza,Psachie/Garza/ESSO,Penske/Cosworth,Accident,138,13,"$40,282",1981
24,24,79,Pete Halsmer,Hubler Chevrolet/KISS 99/Colonial Bread,Penske/Cosworth,Accident,123,0,"$30,702",1981
25,20,2,Tom Sneva,Blue Poly,March/Cosworth,Clutch,96,25,"$38,000",1981
26,11,8,Gary Bettenhausen,Hopkins,Lightning/Cosworth,Rod,69,0,"$27,976",1981
27,21,25,Danny Ongais,Interscope Racing,Interscope/Cosworth,Accident,64,4,"$30,380",1981
28,10,5,Pancho Carter,Alex Foods,Penske/Cosworth,Compression,63,0,"$27,712",1981
29,30,51,Tom Klausler,IDS Idea,Schkee/Chevrolet,Gearbox,60,0,"$27,972",1981
30,22,6,Rick Mears,The Gould Charge,Penske/Cosworth,Pit fire,58,1,"$28,560",1981
31,26,91,Don Whittington,Whittington Brothers,March/Cosworth,Accident,32,0,"$28,743",1981
32,5,1,Johnny Rutherford,Pennzoil,Chaparral/Cosworth,Fuel pump,25,3,"$29,620",1981
33,2,48,Mike Mosley,Pepsi Challenger,Eagle/Chevrolet,Radiator,16,0,"$31,392",1981
1,5,20,Gordon Johncock,STP Oil Treatment,Wildcat/Cosworth,162.029,200,57,"$290,609",1982
2,1,1,Rick Mears,The Gould Charge,Penske/Cosworth,162.026,200,77,"$215,859",1982
3,10,3,Pancho Carter,Alex Foods,March/Cosworth,Running,199,0,"$103,559",1982
4,7,7,Tom Sneva,Texaco Star,March/Cosworth,Engine,197,31,"$88,309",1982
5,16,10,Al Unser,Longhorn Racing,Longhorn/Cosworth,Running,197,0,"$60,326",1982
6,8,91,Don Whittington,The Simoniz Finish,March/Cosworth,Running,196,2,"$57,159",1982
7,24,42,Jim Hickman,Stroh's March,March/Cosworth,Running,189,0,"$59,209",1982
8,12,5,Johnny Rutherford,Pennzoil,Chaparral/Cosworth,Engine,187,0,"$50,329",1982
9,14,28,Herm Johnson,Menard Cashway Lumber,Eagle/Chevrolet,Running,186,0,"$53,454",1982
10,18,30,Howdy Holmes,Domino's Pizza,March/Cosworth,Running,186,0,"$48,679",1982
11,17,19,Bobby Rahal,Red Roof Inns,March/Cosworth,Engine,174,0,"$47,989",1982
12,30,8,Gary Bettenhausen,Kraco Car Stereo,Lightning/Cosworth,Engine,158,0,"$49,679",1982
13,15,52,Hector Rebaque,Carta Blanca,March/Cosworth,Fire,150,0,"$55,116",1982
14,13,53,Danny Sullivan,Forsythe-Brown Racing,March/Cosworth,Accident,148,0,"$46,889",1982
15,11,12,Chip Ganassi,First Commercial Corp.,Wildcat/Cosworth,Engine,147,0,"$45,819",1982
16,6,94,Bill Whittington,Whittington/Warner W. Hogdon,March/Cosworth,Engine,121,0,"$43,779",1982
17,22,68,Michael Chandler,Freeman Gurney Eagle,Eagle/Chevrolet,Gearbox,104,0,"$48,269",1982
18,31,27,Tom Bigelow,H.B.K. Racing,Eagle/Chevrolet,Engine,96,0,"$44,289",1982
19,3,14,A.J. Foyt,Valvoline/Gilmore,March/Cosworth,Transmission,95,32,"$71,239",1982
20,25,34,Johnny Parsons,Silhouette Spas/WIFE/Tombstone Pizza,March/Cosworth,Spin,92,0,"$42,919",1982
21,26,35,George Snider,Cobre Tire/Intermedics,March/Cosworth,Engine,87,0,"$41,529",1982
22,9,25,Danny Ongais,Interscope Racing,Interscope/Cosworth,Accident,62,1,"$41,319",1982
23,28,69,Jerry Sneva,Great American Spirit,March/Cosworth,Accident,61,0,"$40,839",1982
24,29,39,Chet Fillip,Circle Bar Truck Corral,Eagle/Cosworth,Accident,60,0,"$40,539",1982
25,32,66,Pete Halsmer,Colonial Bread/Pay Less,Eagle/Chevrolet,Transmission,38,0,"$41,269",1982
26,27,16,Tony Bettenhausen Jr.,Provimi Veal,March/Cosworth,Accident,37,0,"$40,429",1982
27,21,75,Dennis Firestone,B.C.V. Racing,Eagle/Chevrolet,Rear End,37,0,"$41,319",1982
28,20,21,Geoff Brabham,Pentax Super,March/Cosworth,Engine,12,0,"$42,139",1982
29,33,55,Josele Garza,Schlitz Gusto,March/Cosworth,Engine,1,0,"$40,489",1982
30,2,4,Kevin Cogan,Norton Spirit,Penske/Cosworth,Accident,0,0,"$44,769",1982
31,4,40,Mario Andretti,STP Oil Treatment,Wildcat/Cosworth,Accident,0,0,"$44,279",1982
32,19,31,Roger Mears,Machinist's Union,Penske/Cosworth,Accident,0,0,"$41,719",1982
33,23,95,Dale Whittington,Whittington/Warner W. Hogdon,March/Cosworth,Accident,0,0,"$40,356",1982
1,4,5,Tom Sneva,Texaco Star,March/Cosworth,162.117,200,98,"$385,886",1983
2,7,7,Al Unser,Hertz Penske,Penske/Cosworth,161.954,200,61,"$179,086",1983
3,3,2,Rick Mears,Pennzoil Penske,Penske/Cosworth,161.799,200,2,"$135,086",1983
4,26,12,Geoff Brabham,UNO/British Sterling,Penske/Cosworth,Running,199,0,"$108,286",1983
5,22,16,Kevin Cogan,Caesar's Palace/Master Mechanic,March/Cosworth,Running,198,0,"$73,856",1983
6,12,30,Howdy Holmes,Domino's Pizza,March/Cosworth,Running,198,0,"$71,696",1983
7,14,21,Pancho Carter,Alex Foods Pinata,March/Cosworth,Running,197,0,"$77,491",1983
8,16,60,Chip Ganassi,Sea Ray Boats,Wildcat/Cosworth,Running,195,0,"$60,580",1983
9,29,37,Scott Brayton,SME Cement,March/Cosworth,Running,195,0,"$57,085",1983
10,5,19,Al Unser Jr.,Coors Light Silver Bullet,Eagle/Cosworth,Out of fuel,192,0,"$59,110",1983
11,19,56,Steve Chassey,Genesee Beer Wagon/Sizzler/WLHN,Eagle/Chevrolet,Running,192,0,"$60,982",1983
12,25,72,Chris Kneifel,Primus/C.F.I,Primus/Cosworth,Running,191,0,"$53,690",1983
13,2,18,Mike Mosley,Kraco Car Stereo,March/Cosworth,Accident,169,1,"$61,484",1983
14,10,20,Gordon Johncock,STP Oil Treatment,Wildcat/Cosworth,Gearbox,163,0,"$53,442",1983
15,20,22,Dick Simon,Vermont American,March/Cosworth,Running,161,0,"$56,758",1983
16,30,29,Michael Chandler,Agajanian/Mike Curb,Rattlesnake/Cosworth,Gearbox,153,0,"$50,610",1983
17,9,10,Tony Bettenhausen Jr.,Provimi Veal,March/Cosworth,Half shaft,152,0,"$49,998",1983
18,15,94,Bill Whittington,Whittington Brothers,March/Cosworth,Gearbox,144,0,"$49,922",1983
19,28,34,Derek Daly,Wysard Motor Co.,March/Cosworth,Engine,126,0,"$48,882",1983
20,6,4,Bobby Rahal,Red Roof Inns,March/Cosworth,Radiator,110,15,"$55,378",1983
21,21,25,Danny Ongais,Interscope Racing,March/Cosworth,Handling,101,0,"$48,588",1983
22,23,66,Johnny Parsons,Colonial Bread/Arciero,Penske/Cosworth,Accident,80,0,"$47,478",1983
23,11,3,Mario Andretti,Budweiser/Electrolux,Lola/Cosworth,Accident,79,0,"$47,082",1983
24,33,90,Dennis Firestone,Simpson Sports,March/Cosworth,Oil leak,77,0,"$49,222",1983
25,18,55,Josele Garza,Machinists Union/Silhouette,Penske/Cosworth,Oil leak,64,0,"$59,898",1983
26,1,33,Teo Fabi,Skoal Bandit,March/Cosworth,Fuel gasket,47,23,"$84,960",1983
27,27,91,Don Whittington,The Simoniz Finish,March/Cosworth,Ignition,44,0,"$45,858",1983
28,8,9,Roger Mears,Machinists Union,Penske/Cosworth,Accident,43,0,"$45,642",1983
29,31,43,Steve Krisiloff,Armstrong Mould,Lola/Cosworth,U-joint,42,0,"$45,462",1983
30,17,35,Patrick Bedard,Escort Radar Warning,March/Cosworth,Accident,25,0,"$45,818",1983
31,24,14,A.J. Foyt,Valvoline-Gilmore,March/Cosworth,Shift linkage,24,0,"$44,888",1983
32,13,1,George Snider,Calumet Farms,March/Cosworth,Ignition,22,0,"$45,138",1983
33,32,38,Chet Fillip,Circle Bar Truck Corral,Eagle/Cosworth,Black flagged,11,0,"$50,102",1983
1,3,6,Rick Mears,Pennzoil Z-7,March/Cosworth,163.612,200,119,"$434,061",1984
2,7,9,Roberto Guerrero,Master Mechanic Tools,March/Cosworth,Running,198,0,"$171,666",1984
3,10,2,Al Unser,Miller High Life,March/Cosworth,Running,198,0,"$117,416",1984
4,16,21,Al Holbert,CRC Chemical,March/Cosworth,Running,198,0,"$106,261",1984
5,4,99,Michael Andretti,Electrolux/Kraco,March/Cosworth,Running,198,0,"$119,231",1984
6,12,14,A.J. Foyt,Gilmore/Foyt,March/Cosworth,Running,197,0,"$79,276",1984
7,18,5,Bobby Rahal,7-Eleven/Red Roof Inns,March/Cosworth,Running,197,0,"$74,996",1984
8,9,28,Herm Johnson,3M/Menard Cashway,March/Cosworth,Running,194,0,"$73,560",1984
9,11,25,Danny Ongais,Interscope Racing,March/Cosworth,Running,193,3,"$68,085",1984
10,24,55,Josele Garza,Schaefer/Machinist's Union,March/Cosworth,Running,193,0,"$66,910",1984
11,31,4,George Snider,Calumet Farms,March/Cosworth,Running,193,0,"$69,357",1984
12,32,50,Dennis Firestone,Hoosier Transportation,March/Cosworth,Running,186,0,"$62,765",1984
13,2,41,Howdy Holmes,Jiffy Mixes,March/Cosworth,Running,185,0,"$85,209",1984
14,13,77,Tom Gloy,Simoniz Finish,March/Cosworth,Engine,179,0,"$62,467",1984
15,33,73,Chris Kneifel,Spa*erobics/Living Well,Primus/Cosworth,Transmission,175,0,"$61,683",1984
16,1,1,Tom Sneva,Texaco Star,March/Cosworth,CV joint,168,31,"$112,935",1984
17,6,3,Mario Andretti,Budweiser Lola,Lola/Cosworth,Nose cone,153,29,"$72,323",1984
18,26,37,Scott Brayton,Buick Dealers of America,March/Buick,Transmission,150,0,"$64,397",1984
19,21,10,Pancho Carter,American Dream,March/Cosworth,Engine,141,0,"$59,057",1984
20,27,98,Kevin Cogan,Dubonnet/Curb Racing,Eagle/Pontiac,Wheel,137,0,"$65,853",1984
21,15,7,Al Unser Jr.,Coors Light Silver Bullet,March/Cosworth,Water pump,131,4,"$67,985",1984
22,30,84,Johnny Rutherford,Gilmore/Greer/Foyt,March/Cosworth,Engine,116,0,"$56,453",1984
23,20,22,Dick Simon,Break Free,March/Cosworth,In pits,112,0,"$64,057",1984
24,14,33,Teo Fabi,Skoal Bandit,March/Cosworth,Fuel system,104,14,"$71,197",1984
25,5,20,Gordon Johncock,STP Oil Treatment,March/Cosworth,Accident,103,0,"$61,373",1984
26,17,16,Tony Bettenhausen Jr.,Provimi Veal,March/Cosworth,Piston,86,0,"$55,585",1984
27,29,61,Derek Daly,Provimi Veal,March/Cosworth,Handling,76,0,"$55,333",1984
28,22,40,Chip Ganassi,Old Milwaukee,March/Cosworth,Engine,61,0,"$54,617",1984
29,28,30,Danny Sullivan,Domino's Pizza,Lola/Cosworth,Broken wheel,57,0,"$57,937",1984
30,19,35,Patrick Bedard,Escort Radar Warning,March/Buick,Accident,55,0,"$56,793",1984
31,25,57,Spike Gehlhausen,Little Kings,March/Cosworth,Spun out,45,0,"$54,185",1984
32,23,47,Emerson Fittipaldi,W.I.T. Promotions,March/Cosworth,Oil pressure,37,0,"$53,800",1984
33,8,18,Geoff Brabham,Kraco Car Stereo,March/Cosworth,Fuel line,1,0,"$54,077",1984
1,8,5,Danny Sullivan,Miller American,March/Cosworth,152.982,200,67,"$517,663",1985
2,4,3,Mario Andretti,Beatrice Foods,Lola/Cosworth,152.95,200,107,"$290,363",1985
3,16,9,Roberto Guerrero,Master Mechanics/True Value,March/Cosworth,152.832,200,0,"$157,113",1985
4,7,11,Al Unser,Hertz,March/Cosworth,Running,199,0,"$102,533",1985
5,26,76,Johnny Parsons,Canadian Tire,March/Cosworth,Running,198,0,"$98,863",1985
6,30,21,Johnny Rutherford,Vermont American,March/Cosworth,Running,198,0,"$119,583",1985
7,20,61,Arie Luyendyk,Dutch Treat/Provimi Veal,Lola/Cosworth,Running,198,0,"$99,233",1985
8,15,99,Michael Andretti,Electrolux/Kraco,March/Cosworth,Running,196,0,"$76,813",1985
9,22,98,Ed Pimm,Skoal Bandit,Eagle/Cosworth,Running,195,0,"$79,463",1985
10,19,33,Howdy Holmes,Jiffy Mixes,Lola/Cosworth,Running,194,0,"$88,088",1985
11,32,18,Kevin Cogan,Kraco/Wolff Sun Systems,March/Cosworth,Running,191,0,"$73,663",1985
12,31,29,Derek Daly,Kapsreiter Bier,Lola/Cosworth,Running,189,0,"$77,963",1985
13,5,40,Emerson Fittipaldi,7-Eleven,March/Cosworth,Fuel line,188,11,"$78,163",1985
14,12,12,Bill Whittington,Arciero Wines,March/Cosworth,Accident,183,0,"$69,333",1985
15,24,43,John Paul Jr.,STS/Indianapolis Heliport,March/Cosworth,Accident,164,0,"$68,563",1985
16,27,34,Jim Crawford,Wysard/Canadian Tire,Lola/Cosworth,Electrical,142,0,"$72,383",1985
17,17,25,Danny Ongais,Interscope Racing,March/Cosworth,Engine,141,0,"$64,913",1985
18,23,23,Raul Boesel,Break Free,March/Cosworth,Radiator,134,0,"$83,633",1985
19,9,7,Geoff Brabham,Coors Light Silver Bullet,March/Cosworth,Engine,130,0,"$66,871",1985
20,13,2,Tom Sneva,Skoal Bandit,Eagle/Cosworth,Accident,123,0,"$63,163",1985
21,10,1,Rick Mears,Pennzoil Z-7,March/Cosworth,Linkage,122,0,"$67,333",1985
22,25,84,Chip Ganassi,Calumet Farms,March/Cosworth,Fuel line,121,0,"$57,833",1985
23,33,60,Rich Vogler,Byrd's Kentucky Fried Chicken,March/Cosworth,Accident,119,0,"$71,183",1985
24,6,20,Don Whittington,STP Oil Treatment,March/Cosworth,Engine,97,0,"$60,683",1985
25,11,30,Al Unser Jr.,Domino's Pizza,Lola/Cosworth,Engine,91,0,"$60,133",1985
26,14,22,Dick Simon,Break Free,March/Cosworth,Oil pressure,86,0,"$64,833",1985
27,3,10,Bobby Rahal,Budweiser,March/Cosworth,Waste gate,84,14,"$83,463",1985
28,21,14,A.J. Foyt,Copenhagen-Gilmore,March/Cosworth,Front wing,62,0,"$53,863",1985
29,29,97,Tony Bettenhausen Jr.,Skoal Bandit,Lola/Cosworth,Wheel bearing,31,0,"$63,613",1985
30,2,37,Scott Brayton,Hardee's 37,March/Buick,Cylinder wall,19,1,"$86,863",1985
31,18,55,Josele Garza,Schaefer/Machinists,March/Cosworth,Engine,15,0,"$59,083",1985
32,28,44,George Snider,A.J. Foyt Chevrolet,March/Chevrolet,Engine,13,0,"$53,263",1985
33,1,6,Pancho Carter,Valvoline Buick,March/Buick,Oil pump,6,0,"$121,533",1985
1,4,3,Bobby Rahal,Budweiser,March/Cosworth,170.722,200,58,"$581,063",1986
2,6,7,Kevin Cogan,7-Eleven,March/Cosworth,170.698,200,13,"$253,363",1986
3,1,4,Rick Mears,Pennzoil Z-7,March/Cosworth,170.691,200,76,"$332,263",1986
4,8,5,Roberto Guerrero,True Value,March/Cosworth,170.551,200,1,"$139,513",1986
5,9,30,Al Unser Jr.,Domino's Pizza,Lola/Cosworth,Running,199,6,"$113,463",1986
6,3,18,Michael Andretti,Kraco/STP/Lean Machine,March/Cosworth,Running,199,45,"$171,763",1986
7,11,20,Emerson Fittipaldi,Marlboro,March/Cosworth,Running,199,1,"$104,563",1986
8,12,21,Johnny Rutherford,Vermont American,March/Cosworth,Running,198,0,"$97,513",1986
9,2,1,Danny Sullivan,Miller American,March/Cosworth,Running,197,0,"$134,088",1986
10,13,12,Randy Lanier,Arciero Racing,March/Cosworth,Running,195,0,"$103,438",1986
11,29,24,Gary Bettenhausen,Vita Fresh Orange Juice/Timex,March/Cosworth,Running,193,0,"$108,913",1986
12,20,8,Geoff Brabham,Valvoline Spirit,Lola/Cosworth,Running,193,0,"$94,613",1986
13,22,22,Raul Boesel,Duracell Copper Top,Lola/Cosworth,Running,192,0,"$90,063",1986
14,33,23,Dick Simon,Duracell Copper Top,Lola/Cosworth,Running,189,0,"$93,463",1986
15,19,61,Arie Luyendyk,MCI/Race For Life,Lola/Cosworth,Accident,188,0,"$86,013",1986
16,14,15,Pancho Carter,Coors Light,Lola/Cosworth,Wheel bearing,179,0,"$84,713",1986
17,10,66,Ed Pimm,Skoal/Pace Electronics,March/Cosworth,Ignition,168,0,"$83,863",1986
18,17,55,Josele Garza,Schaefer/Machinists,March/Cosworth,Running,167,0,"$88,363",1986
19,32,9,Roberto Moreno,Valvoline Spirit II,Lola/Cosworth,Engine,158,0,"$82,301",1986
20,15,81,Jacques Villeneuve (U),Living Well/Labatts,March/Cosworth,Main bearing,154,0,"$81,613",1986
21,25,59,Chip Ganassi,Bryant Heating & Cooling,March/Cosworth,Blown engine,151,0,"$81,163",1986
22,5,11,Al Unser,Hertz,Penske/Ilmor,Vibration,149,0,"$81,563",1986
23,16,25,Danny Ongais,GM Goodwrench,March/Buick,Ignition,136,0,"$79,713",1986
24,21,14,A.J. Foyt,Copenhagen/Gilmore,March/Cosworth,Spun in pits,135,0,"$97,713",1986
25,27,6,Rich Vogler,Byrd's Ky Fr Ckn/Vermont American,March/Cosworth,Accident,132,0,"$90,563",1986
26,31,84,George Snider,Copenhagen/Gilmore,March/Cosworth,Ignition,110,0,"$80,163",1986
27,28,95,Johnny Parsons,Pizza Hut/Machinists,March/Cosworth,CV joint,100,0,"$78,013",1986
28,18,16,Tony Bettenhausen Jr.,Bettenhausen & Associates,March/Cosworth,Valve,77,0,"$77,713",1986
29,26,31,Jim Crawford,American Sunroofs Inc.,March/Buick,Head gasket,70,0,"$95,263",1986
30,23,71,Scott Brayton,Hardee's/Living Well/WTTV,March/Buick,Engine,69,0,"$78,263",1986
31,24,42,Phil Krueger,Squirt/Moran Electric,March/Cosworth,Engine,67,0,"$82,413",1986
32,30,2,Mario Andretti,Newman-Haas Racing,Lola/Cosworth,Ignition,19,0,"$77,013",1986
33,7,33,Tom Sneva,Skoal Bandit,March/Cosworth,Accident,0,0,"$76,963",1986
1,20,25,Al Unser,Cummins/Holset Turbo,March/Cosworth,162.175,200,18,"$526,763",1987
